ANYO,MES,SAC,PAIS,ADUANA,VIA,VALOR,PESO
2024,6,602201000,1005,2,2,2594,14371
2024,6,602201000,1005,11,3,768,8406
2024,1,602209000,2104,106,1,"10,650",600
2024,1,602209000,2102,33,1,"25,948",3360
2024,1,602209000,2102,34,1,"19,281",4400
2024,1,602209000,2102,49,1,"41,014",13450
2024,1,602209000,1005,11,3,"144,699",17600
2024,2,602209000,1007,31,1,15660,1795
2024,2,602209000,2102,33,1,"22,286",1440
2024,2,602209000,3503,2,2,14600,852
2024,2,602209000,1005,11,3,"216,495",26400
2024,3,602209000,2102,33,1,"22,286",1440
2024,3,602209000,1005,11,3,"144,699",17600
2024,4,602209000,2104,106,1,22210,1370
2024,4,602209000,1007,31,1,70200,7800
2024,4,602209000,3503,2,2,10950,665
2024,4,602209000,1005,11,3,132199,15400
2024,5,602209000,2104,106,1,660,558
2024,5,602209000,1007,31,1,37800,4200
2024,5,602209000,2102,33,1,12286,870
2024,5,602209000,1003,2,2,6361,462
2024,5,602209000,1005,2,2,14056,1260
2024,5,602209000,3503,2,2,18250,1000
2024,6,602209000,2104,106,1,8520,510
2024,6,602209000,1005,2,2,6414,497
2024,6,602209000,3503,2,2,21900,1236
2024,6,602209000,1005,11,3,331687,44274
2024,1,602901000,2102,49,1,15238,2940
2024,2,602901000,2102,49,1,10877,2089
2024,3,602901000,2102,49,1,"17,253",3129
2024,4,602901000,2102,49,1,4687,851
2024,5,602901000,2102,49,1,34681,6555
2024,6,602901000,2104,34,1,109602,4500
2024,6,602901000,2102,49,1,31308,6299
2024,1,602909000,2104,106,1,341,136
2024,1,602909000,2102,34,1,"34,608",30000
2024,1,602909000,1003,2,2,"254,614",4697
2024,1,602909000,1005,2,2,"1,400,139",18929
2024,1,602909000,2101,2,2,"1,318",44
2024,1,602909000,4113,2,2,"3,419",54
2024,1,602909000,4128,2,2,"17,809",416
2024,1,602909000,5404,2,2,469,12
2024,1,602909000,5411,2,2,"2,407",40
2024,2,602909000,2104,106,1,354,138
2024,2,602909000,2102,49,1,"7,056",920
2024,2,602909000,1003,2,2,"291,974",5049
2024,2,602909000,1005,2,2,"1,184,338",16292
2024,2,602909000,4113,2,2,"3,594",70
2024,2,602909000,4128,2,2,"48,609",699
2024,2,602909000,5404,2,2,893,18
2024,2,602909000,5411,2,2,3371,40
2024,3,602909000,2104,106,1,313,123
2024,3,602909000,2102,33,1,"1,490",6000
2024,3,602909000,2102,49,1,"9,793",1420
2024,3,602909000,1003,2,2,"172,807",3363
2024,3,602909000,1005,2,2,"375,156",5916
2024,3,602909000,4113,2,2,"4,975",66
2024,3,602909000,4128,2,2,"55,318",925
2024,3,602909000,5411,2,2,897,26
2024,3,602909000,4107,10,3,2,14
2024,4,602909000,2104,106,1,520,206
2024,4,602909000,1003,2,2,70049,2255
2024,4,602909000,1005,2,2,170936,2481
2024,4,602909000,4113,2,2,2417,34
2024,4,602909000,4128,2,2,13540,419
2024,4,602909000,5411,2,2,745,18
2024,5,602909000,2104,106,1,2919,21169
2024,5,602909000,2102,49,1,11153,2070
2024,5,602909000,1003,2,2,157913,3539
2024,5,602909000,1005,2,2,565893,6015
2024,5,602909000,2101,2,2,1606,315
2024,5,602909000,2408,2,2,1126,8
2024,5,602909000,4113,2,2,2989,63
2024,5,602909000,4128,2,2,15124,316
2024,5,602909000,5411,2,2,2105,50
2024,6,602909000,2104,106,1,527,212
2024,6,602909000,1003,2,2,161913,3749
2024,6,602909000,1005,2,2,190367,1400
2024,6,602909000,2101,2,2,498,149
2024,6,602909000,4113,2,2,8118,238
2024,6,602909000,4128,2,2,26917,489
2024,6,602909000,5411,2,2,2706,100
2024,1,603110000,2104,106,1,"105,636",475192
2024,1,603110000,2104,108,1,1441,40545
2024,1,603110000,1005,31,1,633806,34584
2024,1,603110000,4227,31,1,"1,792",257
2024,1,603110000,2102,33,1,56823,16355
2024,1,603110000,2102,34,1,"4,526",5462
2024,1,603110000,2102,49,1,213182,121857
2024,1,603110000,1005,2,2,"454,373",63974
2024,1,603110000,2101,2,2,"3,880",851
2024,1,603110000,1005,11,3,"1,374,058",62164
2024,2,603110000,2104,106,1,"244,995",656616
2024,2,603110000,2104,107,1,38,294
2024,2,603110000,2104,108,1,"7,427",79721
2024,2,603110000,1005,31,1,49123,7666
2024,2,603110000,1007,31,1,33661,5931
2024,2,603110000,2102,33,1,"37,657",15248
2024,2,603110000,2102,34,1,6152,4167
2024,2,603110000,2102,49,1,223545,129570
2024,2,603110000,1005,2,2,"288,897",41220
2024,2,603110000,2101,2,2,4244,979
2024,2,603110000,1005,11,3,"40,103",3760
2024,3,603110000,2104,106,1,"87,331",439106
2024,3,603110000,2104,108,1,"1,230",33618
2024,3,603110000,2102,33,1,"75,900",21900
2024,3,603110000,2102,34,1,"9,703",6828
2024,3,603110000,2102,49,1,"288,280",158280
2024,3,603110000,1005,2,2,"637,962",92347
2024,3,603110000,2101,2,2,39571,5806
2024,3,603110000,2208,2,2,958,102
2024,3,603110000,1005,11,3,35470,4351
2024,4,603110000,2104,106,1,101639,475395
2024,4,603110000,2104,108,1,1414,40910
2024,4,603110000,1005,31,1,848236,101267
